Martix no.,# Components,# Tests,# Diagnoses,Weighted Precision,Weighted Recall,Wasted Effort,Runtime(ms)
0,5740,620,37,1.0283460115089299e-12,6.855640076726198e-13,22,0.062129974365234375
1,6674,902,503,0.5,0.5,1,1.5754129886627197
2,5285,912,456,0.18672495275503234,0.18672495275503234,4,1.1904618740081787
3,5108,792,26,0.9999979902665366,0.9999979902665366,1,0.021275758743286133
4,4000,433,2,0.0,0.0,2,0.0032939910888671875
5,4949,783,33,0.4387185057522412,0.4387185057522412,1,0.03720402717590332
6,4913,812,10,0.0,0.0,9,0.03720903396606445
7,7,3,2,0.8709671481890044,0.8709671481890044,1,0.0016388893127441406
8,5855,953,99,0.999999859259279,0.999999859259279,1,0.17232298851013184
9,5548,972,548,0.11238944610335257,0.07492629740223503,539,1.445725917816162
10,5575,1004,441,0.11291927060052771,0.11291927060052771,2,1.2634553909301758
11,5585,993,441,0.11291927060052769,0.11291927060052769,2,1.2498040199279785
12,5345,895,10,0.0,0.0,6,0.040717124938964844
13,5311,924,43,0.2273029966433235,0.0757676655477745,43,0.02483391761779785
14,5077,517,12,0.12454984490900005,0.12454984490900005,3,0.013145923614501953
15,6538,1075,67,0.6279069767450365,0.31395348837251824,67,0.19534802436828613
16,6403,1058,65,1.0,1.0,1,0.1921548843383789
17,82,3,25,0.17142844204292115,0.05714281401430705,11,0.017230987548828125
18,1134,157,43,0.25594386130083485,0.0853146204336116,43,0.01827096939086914
19,457,25,13,0.12178871947628327,0.12178871947628327,6,0.01025390625
